Ticker,close,date,high,low,month,open,volume,source_file_date,Company,sector
Sbin,566.4,2023-11-01 05:30:00,569.65,563.85,2023-11,566.25,13575575,2023-11-01,Sbi,Banking
Bajajfinance,7471.9,2023-11-01 05:30:00,7549.0,7457.65,2023-11,7520.0,462778,2023-11-01,Bajaj Finance,Finance
Titan,3173.4,2023-11-01 05:30:00,3212.9,3168.35,2023-11,3193.85,756820,2023-11-01,Titan,Retailing
Itc,428.1,2023-11-01 05:30:00,431.1,425.5,2023-11,430.0,7990245,2023-11-01,Itc,Food & Tobacco
Tcs,3330.65,2023-11-01 05:30:00,3371.6,3311.0,2023-11,3355.0,1563475,2023-11-01,Tcs,Software
Lt,2895.3,2023-11-01 05:30:00,2983.15,2871.05,2023-11,2947.45,3875595,2023-11-01,L&T,Engineering
Tata consumer,892.06,2023-11-01 05:30:00,908.71,884.7,2023-11,894.88,2645858,2023-11-01,Tata Consumer,Fmcg
Reliance,1148.7,2023-11-01 05:30:00,1158.75,1137.6,2023-11,1144.58,10309190,2023-11-01,Reliance Ind.,Energy
Hcltech,1258.95,2023-11-01 05:30:00,1285.95,1255.3,2023-11,1280.0,1572719,2023-11-01,Hcl Technologies,Software
Jswsteel,724.45,2023-11-01 05:30:00,737.3,723.0,2023-11,736.9,1845107,2023-11-01,Jsw Steel,Steel
Ultracemco,8381.45,2023-11-01 05:30:00,8445.0,8370.1,2023-11,8440.0,209234,2023-11-01,Ultratech Cement,Cement
Powergrid,200.95,2023-11-01 05:30:00,202.35,200.5,2023-11,202.35,5598615,2023-11-01,Power Grid,Power
Infy,1354.15,2023-11-01 05:30:00,1377.45,1351.65,2023-11,1373.05,3090672,2023-11-01,Infosys,Software
Trent,2197.65,2023-11-01 05:30:00,2209.3,2148.95,2023-11,2163.7,1081257,2023-11-01,Trent,Retailing
Airtel,913.45,2023-11-01 05:30:00,914.55,895.45,2023-11,903.0,4821458,2023-11-01,Bharti Airtel,Telecom
Tatamotors,627.7,2023-11-01 05:30:00,633.8,626.3,2023-11,630.0,8785264,2023-11-01,Tata Motors,Automobiles
Wipro,380.95,2023-11-01 05:30:00,385.55,380.15,2023-11,383.85,2120976,2023-11-01,Wipro,Software
Techm,1125.1,2023-11-01 05:30:00,1138.0,1119.95,2023-11,1130.95,1288497,2023-11-01,Tech Mahindra,Software
Ntpc,232.6,2023-11-01 05:30:00,236.7,232.1,2023-11,236.7,6718059,2023-11-01,Ntpc,Power
Hindunilvr,2472.25,2023-11-01 05:30:00,2493.95,2466.8,2023-11,2485.0,1267131,2023-11-01,Hindustan Unilever,Fmcg
Apollohosp,4796.55,2023-11-01 05:30:00,4856.0,4790.0,2023-11,4835.0,281746,2023-11-01,Apollo Hospitals,Miscellaneous
M&M,1454.6,2023-11-01 05:30:00,1485.0,1450.0,2023-11,1464.9,2627536,2023-11-01,M&M,Automobiles
Grasim,1861.15,2023-11-01 05:30:00,1889.49,1854.03,2023-11,1886.5,346246,2023-11-01,Grasim,Textiles
Icicibank,914.05,2023-11-01 05:30:00,917.6,909.3,2023-11,913.8,12927203,2023-11-01,Icici Bank,Banking
Adanient,2217.3,2023-11-01 05:30:00,2312.25,2207.0,2023-11,2299.0,1666579,2023-11-01,Adani Enterprises,Miscellaneous
Adaniports,769.1,2023-11-01 05:30:00,790.5,767.2,2023-11,784.75,2693768,2023-11-01,Adani Ports & Sez,Miscellaneous
Bel,132.4,2023-11-01 05:30:00,134.55,132.05,2023-11,133.75,10431945,2023-11-01,Bharat Electronics,Defence
Bajajfinsv,1572.85,2023-11-01 05:30:00,1580.0,1565.0,2023-11,1574.9,770557,2023-11-01,Bajaj Finserv,Finance
Eichermot,3282.25,2023-11-01 05:30:00,3315.1,3275.0,2023-11,3309.8,325630,2023-11-01,Eicher Motors,Automobiles
Coalindia,306.65,2023-11-01 05:30:00,315.8,305.85,2023-11,313.2,9593653,2023-11-01,Coal India,Mining
Maruti,10227.8,2023-11-01 05:30:00,10422.2,10188.7,2023-11,10390.1,699116,2023-11-01,Maruti Suzuki,Automobiles
Indusindbk,1432.6,2023-11-01 05:30:00,1445.6,1427.15,2023-11,1443.9,2658439,2023-11-01,Indusind Bank,Banking
Asianpaint,2934.55,2023-11-01 05:30:00,3008.9,2930.0,2023-11,2997.95,1029990,2023-11-01,Asian Paints,Paints
Tatasteel,116.6,2023-11-01 05:30:00,119.1,116.0,2023-11,119.0,24717941,2023-11-01,Tata Steel,Steel
