sector,average
Aluminium,0.0014910610638494753
Automobiles,0.0016592619467302127
Banking,0.0005033733878560075
Cement,0.001123769481942936
Defence,0.003093495185492335
Energy,0.001200455841878839
Engineering,0.0008566826201861071
Finance,0.000456716818119298
Fmcg,6.451640173045424e-05
Food & Tobacco,0.00017707299088738748
Insurance,0.0004649021909437646
Mining,0.001309443334533909
Miscellaneous,0.0011907958230923813
Paints,-0.0006403323160317471
Pharmaceuticals,0.0010835567227630264
Power,0.0019303902025525834
Retailing,0.002246681316026904
Software,0.0013959706676135437
Steel,0.0010120425400870713
Telecom,0.002052470691896415
Textiles,0.0012846865839886105
