Month,Gainer_1,Gainer_1_Return_%,Gainer_2,Gainer_2_Return_%,Gainer_3,Gainer_3_Return_%,Gainer_4,Gainer_4_Return_%,Gainer_5,Gainer_5_Return_%,Loser_1,Loser_1_Return_%,Loser_2,Loser_2_Return_%,Loser_3,Loser_3_Return_%,Loser_4,Loser_4_Return_%,Loser_5,Loser_5_Return_%
2023-11,Trent,26.82,Hero Motocorp,23.5,Bpcl,22.08,Eicher Motors,18.73,Apollo Hospitals,15.27,Bajaj Finance,-4.68,Sbi,-0.29,Cipla,0.92,Nestle,1.52,Itc,1.8
2023-12,Bharat Electronics,24.92,Adani Ports & Sez,23.74,Adani Enterprises,20.58,Hindalco,18.88,Ultratech Cement,16.26,Hdfc Life Insurance,-5.2,Maruti Suzuki,-2.68,Axis Bank,-0.21,Bajaj Finserv,-0.01,Sbi Life Insurance,0.63
2024-01,Ongc,22.84,Shriram Finance,20.4,Bharti Airtel,15.56,Adani Ports & Sez,15.25,Bajaj Auto,14.42,Hdfc Bank,-13.87,Asian Paints,-12.9,Hdfc Life Insurance,-11.11,Nestle,-8.45,Jsw Steel,-6.72
2024-02,Trent,25.11,Bpcl,18.76,M&M,17.03,Sbi,15.51,Sun Pharma,12.07,Hindalco,-11.8,Itc,-8.26,Kotak Mahindra Bank,-7.31,Indusind Bank,-4.3,Hdfc Bank,-4.29
2024-03,Bajaj Auto,13.78,Bajaj Finance,10.25,Bharti Airtel,8.85,Maruti Suzuki,8.43,Hindalco,7.93,Infosys,-9.47,Tata Consumer,-8.73,Wipro,-7.51,Hcl Technologies,-6.12,Hindustan Unilever,-6.03
2024-04,Eicher Motors,16.49,Trent,13.46,Hindalco,13.33,M&M,12.55,Bharat Electronics,10.73,Hcl Technologies,-12.21,Kotak Mahindra Bank,-9.31,Hdfc Life Insurance,-8.05,Apollo Hospitals,-7.9,Sun Pharma,-7.8
2024-05,Bharat Electronics,26.07,M&M,14.69,Hero Motocorp,12.24,Adani Enterprises,12.23,Britannia,8.83,Tata Motors,-10.2,Titan,-9.15,Shriram Finance,-8.83,Dr. Reddys Lab,-7.88,Ongc,-6.52
2024-06,Trent,17.54,Shriram Finance,16.04,Wipro,15.93,Tech Mahindra,14.86,Grasim,12.73,Adani Enterprises,-12.84,L&T,-8.95,Bpcl,-8.75,Coal India,-7.65,Adani Ports & Sez,-6.68
2024-07,Ongc,22.44,Hdfc Life Insurance,19.1,Infosys,17.44,Sbi Life Insurance,16.77,Itc,15.45,Axis Bank,-7.59,Bajaj Finance,-6.46,Hdfc Bank,-5.25,Tata Steel,-5.02,Nestle,-4.35
2024-08,Trent,24.05,Bajaj Auto,11.93,Bajaj Finserv,9.07,Shriram Finance,7.2,Cipla,7.03,Maruti Suzuki,-7.16,Adani Ports & Sez,-6.81,Power Grid,-6.56,Tata Steel,-6.32,Adani Enterprises,-6.15
2024-09,M&M,11.45,Bajaj Auto,10.96,Shriram Finance,10.9,Hindalco,10.57,Tata Steel,10.25,Tata Motors,-10.8,Ongc,-8.77,Tcs,-5.59,Infosys,-4.53,Tech Mahindra,-4.22
2024-10,Sbi,2.92,Icici Bank,1.4,Hdfc Life Insurance,1.4,Wipro,0.92,Hdfc Bank,0.55,Indusind Bank,-25.12,Bajaj Auto,-19.09,Nestle,-16.41,Tata Consumer,-16.19,Maruti Suzuki,-15.87
2024-11,Tech Mahindra,8.97,Infosys,8.03,Hcl Technologies,8.02,M&M,6.93,Tcs,6.54,Adani Enterprises,-24.46,Adani Ports & Sez,-18.48,Asian Paints,-15.91,Britannia,-14.84,Ntpc,-11.16
